description,srf,globex,exchange,enabled
"2 Yr Note","TU","ZT","CBOT","True"
"5 Yr Note","FV","ZF","CBOT","True"
"10 Yr Note","TY","ZN","CBOT","True"
"30 Day Federal Funds","FF","ZQ","CBOT","True"
"Australian Dollar","AD","6A","CME","True"
"British Pound","BP","6B","CME","True"
"Canadian Dollar","CD","6C","CME","True"
"Copper","HG","HG","COMEX","True"
"Corn","C","ZC","CBOT","True"
"Crude Oil","CL","CL","NYMEX","True"
"E-Mini NASDAQ 100","NQ","NQ","CME","True"
"E-mini S&P 500","ES","ES","CME","True"
"E-mini S&P MidCap 400","MD","EMD","CME","True"
"Euro FX","EC","6E","CME","True"
"Eurodollar","ED","GE","CME","True"
"Gold","GC","GC","COMEX","True"
"Japanese Yen","JY","6J","CME","True"
"KC HRW Wheat","KW","KE","CBOT","True"
"Lean Hog","LN","HE","CME","True"
"Live Cattle","LC","LE","CME","True"
"Mexican Peso","MP","6M","CME","True"
"Natural Gas (Henry Hub) Physical","NG","NG","NYMEX","True"
"New Zealand Dollars","NE","6N","CME","True"
"Nikkei/USD","NK","NKD","CME","True"
"NY Harbor ULSD","HO","HO","NYMEX","True"
"Oats","O","ZO","CBOT","True"
"Palladium","PA","PA","NYMEX","True"
"Platinum","PL","PL","NYMEX","True"
"RBOB Gasoline Physical","RB","RB","NYMEX","True"
"Russell 1000 Index Mini","RS1","RS1","CME","True"
"Russell 2000 Index Mini","RTY","RTY","CME","True"
"S&P 500","SP","","CME","False"
"Silver","SI","SI","COMEX","True"
"Soybean","S","ZS","CBOT","True"
"Soybean Meal","SM","ZM","CBOT","True"
"Soybean Oil","BO","ZL","CBOT","True"
"Swiss Franc","SF","6S","CME","True"
"U.S. Treasury Bond","US","ZB","CBOT","True"
"Wheat","W","ZW","CBOT","True"
"Brent Crude","B","BZ","ICE","True"
"Cocoa","CC","CJ","ICE","True"
"Coffee C","KC","KT","ICE","True"
"Cotton No. 2","CT","TT","ICE","True"
"Gas Oil","G","GX","ICE","False"
"Heating Oil","O","","ICE","False"
"Orange Juice","OJ","","ICE","False"
"Rotterdam Coal","ATW","MTF","ICE","True"
"Russell 1000 Index Mini: Discontinued","RF","RS1","CME","False"
"Russell 2000 Index Mini: Discontinued","TF","RTY","CME","False"
"Sm GBP/USD","MP","","ICE","False"
"Sugar No. 11","SB","YO","ICE","True"
"UK Natural Gas","M","UKG","ICE","True"
"US Dollar Index","DX","","ICE","False"
"WTI Crude","T","","ICE","False"
"Three-Month SOFR","","SR3","CME","True"
"Ultra 10-Year U.S. Treasury Note","","TN","CBOT","True"
"Ultra U.S. Treasury Bond ","","UB","CBOT","True"
"One-Month SOFR ","","SR1","CME","True"
"Mont Belvieu LDH Propane","","B0","NYMEX","True"
"Russian Ruble","","6R","CME","True"
"Feeder Cattle","","GF","CME","True"
"Dow Jones Real Estate ","","RX","CBOT","True"
"Brazilian Real","","6L","CME","True"
"Class III Milk","","DC","CME","True"
"Chicago Ethanol (Platts)","","CU","NYMEX","True"
"3-Year T-Note","","Z3N","CBOT","True"
"Cash-Settled Cheese","","CSC","CME","True"
"Class IV Milk","","DK","CME","True"
"South African Rand","","6Z","CME","True"
"Black Sea Wheat Financially Settled (Platts)","","BWF","CBOT","True"
"Dutch TTF Natural Gas Calendar Month","","TTF","NYMEX","True"
"Cash-settled Butter","","CB","CME","True"
"Nonfat Dry Milk","","GNF","CME","True"
"Rough Rice","","ZR","CBOT","True"
"Black Sea Corn Financially Settled (Platts)","BCF","","CBOT","True"
"Ether","","ETH","CME","True"
"Dry Whey","","DY","CME","True"